_id,No.,Date,Organization,Number_Passenger,Note
10516,10516,23/2/2026,BTS Green Line,"771,410",
10517,10517,23/2/2026,BTS Gold Line,"8,119",
10518,10518,24/2/2026,SRT,"65,189",
10519,10519,24/2/2026,ARL,"74,924",
10520,10520,24/2/2026,Red Line,"39,772",
10521,10521,24/2/2026,MRT Blue Line,"501,597",
10522,10522,24/2/2026,MRT Purple Line,"75,871",
10523,10523,24/2/2026,MRT Yellow Line,"49,058",
10524,10524,24/2/2026,MRT Pink Line,"69,767",
10525,10525,24/2/2026,BTS Green Line,"777,326",
10526,10526,24/2/2026,BTS Gold Line,"7,549",
10527,10527,25/2/2026,SRT,"65,992",
10528,10528,25/2/2026,ARL,"77,476",
10529,10529,25/2/2026,Red Line,"39,212",
10530,10530,25/2/2026,MRT Blue Line,"510,232",
10531,10531,25/2/2026,MRT Purple Line,"76,984",
10532,10532,25/2/2026,MRT Yellow Line,"50,320",
10533,10533,25/2/2026,MRT Pink Line,"69,393",
10534,10534,25/2/2026,BTS Green Line,"779,707",
10535,10535,25/2/2026,BTS Gold Line,"7,688",
10536,10536,26/2/2026,SRT,"68,181",
10537,10537,26/2/2026,ARL,"78,452",
10538,10538,26/2/2026,Red Line,"40,453",
10539,10539,26/2/2026,MRT Blue Line,"501,038",
10540,10540,26/2/2026,MRT Purple Line,"76,852",
10541,10541,26/2/2026,MRT Yellow Line,"50,415",
10542,10542,26/2/2026,MRT Pink Line,"70,039",
10543,10543,26/2/2026,BTS Green Line,"775,919",
10544,10544,26/2/2026,BTS Gold Line,"7,228",
10545,10545,27/2/2026,SRT,"81,975",
10546,10546,27/2/2026,ARL,"79,776",
10547,10547,27/2/2026,Red Line,"44,362",
10548,10548,27/2/2026,MRT Blue Line,"509,011",
10549,10549,27/2/2026,MRT Purple Line,"79,074",
10550,10550,27/2/2026,MRT Yellow Line,"54,132",
10551,10551,27/2/2026,MRT Pink Line,"76,274",
10552,10552,27/2/2026,BTS Green Line,"820,609",
10553,10553,27/2/2026,BTS Gold Line,"8,173",
10554,10554,28/2/2026,SRT,"76,125",
10555,10555,28/2/2026,ARL,"60,578",
10556,10556,28/2/2026,Red Line,"28,521",
10557,10557,28/2/2026,MRT Blue Line,"342,213",
10558,10558,28/2/2026,MRT Purple Line,"44,384",
10559,10559,28/2/2026,MRT Yellow Line,"38,416",
10560,10560,28/2/2026,MRT Pink Line,"48,666",
10561,10561,28/2/2026,BTS Green Line,"563,862",
10562,10562,28/2/2026,BTS Gold Line,"7,853",
10563,10563,1/3/2026,SRT,"78,660",
10564,10564,1/3/2026,ARL,"53,376",
10565,10565,1/3/2026,Red Line,"26,280",
10566,10566,1/3/2026,MRT Blue Line,"295,134",
10567,10567,1/3/2026,MRT Purple Line,"35,886",
10568,10568,1/3/2026,MRT Yellow Line,"34,146",
10569,10569,1/3/2026,MRT Pink Line,"42,855",
10570,10570,1/3/2026,BTS Green Line,"481,210",
10571,10571,1/3/2026,BTS Gold Line,"6,240",
10572,10572,2/3/2026,SRT,"75,171",
10573,10573,2/3/2026,ARL,"71,258",
10574,10574,2/3/2026,Red Line,"37,898",
10575,10575,2/3/2026,MRT Blue Line,"459,180",
10576,10576,2/3/2026,MRT Purple Line,"70,188",
10577,10577,2/3/2026,MRT Yellow Line,"48,970",
10578,10578,2/3/2026,MRT Pink Line,"67,047",
10579,10579,2/3/2026,BTS Green Line,"722,104",
10580,10580,2/3/2026,BTS Gold Line,"6,943",
10581,10581,3/3/2026,SRT,"67,321",
10582,10582,3/3/2026,ARL,"51,539",
10583,10583,3/3/2026,Red Line,"23,585",
10584,10584,3/3/2026,MRT Blue Line,"276,844",
10585,10585,3/3/2026,MRT Purple Line,"33,483",
10586,10586,3/3/2026,MRT Yellow Line,"30,195",
10587,10587,3/3/2026,MRT Pink Line,"36,769",
10588,10588,3/3/2026,BTS Green Line,"446,864",
10589,10589,3/3/2026,BTS Gold Line,"6,032",
10590,10590,4/3/2026,SRT,"67,685",
10591,10591,4/3/2026,ARL,"76,128",
10592,10592,4/3/2026,Red Line,"39,889",
10593,10593,4/3/2026,MRT Blue Line,"476,935",
10594,10594,4/3/2026,MRT Purple Line,"74,107",
10595,10595,4/3/2026,MRT Yellow Line,"50,033",
10596,10596,4/3/2026,MRT Pink Line,"70,037",
10597,10597,4/3/2026,BTS Green Line,"759,421",
10598,10598,4/3/2026,BTS Gold Line,"6,080",
10599,10599,5/3/2026,SRT,"67,962",
10600,10600,5/3/2026,ARL,"76,325",
10601,10601,5/3/2026,Red Line,"39,867",
10602,10602,5/3/2026,MRT Blue Line,"492,675",
10603,10603,5/3/2026,MRT Purple Line,"74,972",
10604,10604,5/3/2026,MRT Yellow Line,"51,114",
10605,10605,5/3/2026,MRT Pink Line,"68,681",
10606,10606,5/3/2026,BTS Green Line,"751,746",
10607,10607,5/3/2026,BTS Gold Line,"6,188",
10608,10608,6/3/2026,SRT,"80,965",
10609,10609,6/3/2026,ARL,"78,410",
10610,10610,6/3/2026,Red Line,"43,005",
10611,10611,6/3/2026,MRT Blue Line,"509,145",
10612,10612,6/3/2026,MRT Purple Line,"76,545",
10613,10613,6/3/2026,MRT Yellow Line,"53,077",
10614,10614,6/3/2026,MRT Pink Line,"74,792",
10615,10615,6/3/2026,BTS Green Line,"783,284",
10616,10616,6/3/2026,BTS Gold Line,"6,920",
10617,10617,7/3/2026,SRT,"70,870",
10618,10618,7/3/2026,ARL,"60,648",
10619,10619,7/3/2026,Red Line,"29,753",
10620,10620,7/3/2026,MRT Blue Line,"332,615",
10621,10621,7/3/2026,MRT Purple Line,"43,041",
10622,10622,7/3/2026,MRT Yellow Line,"38,963",
10623,10623,7/3/2026,MRT Pink Line,"60,923",
10624,10624,7/3/2026,BTS Green Line,"595,567",
10625,10625,7/3/2026,BTS Gold Line,"6,822",
10626,10626,8/3/2026,SRT,"79,008",
10627,10627,8/3/2026,ARL,"54,429",
10628,10628,8/3/2026,Red Line,"26,180",
10629,10629,8/3/2026,MRT Blue Line,"294,414",
10630,10630,8/3/2026,MRT Purple Line,"35,888",
10631,10631,8/3/2026,MRT Yellow Line,"34,597",
10632,10632,8/3/2026,MRT Pink Line,"38,889",
10633,10633,8/3/2026,BTS Green Line,"517,183",
10634,10634,8/3/2026,BTS Gold Line,"5,796",
10635,10635,9/3/2026,SRT,"73,636",
10636,10636,9/3/2026,ARL,"74,312",
10637,10637,9/3/2026,Red Line,"40,910",
10638,10638,9/3/2026,MRT Blue Line,"466,191",
10639,10639,9/3/2026,MRT Purple Line,"78,752",
10640,10640,9/3/2026,MRT Yellow Line,"47,112",
10641,10641,9/3/2026,MRT Pink Line,"67,658",
10642,10642,9/3/2026,BTS Green Line,"727,912",
10643,10643,9/3/2026,BTS Gold Line,"5,848",
10644,10644,10/3/2026,SRT,"69,670",
10645,10645,10/3/2026,ARL,"74,495",
10646,10646,10/3/2026,Red Line,"40,056",
10647,10647,10/3/2026,MRT Blue Line,"479,190",
10648,10648,10/3/2026,MRT Purple Line,"73,754",
10649,10649,10/3/2026,MRT Yellow Line,"48,547",
10650,10650,10/3/2026,MRT Pink Line,"68,203",
10651,10651,10/3/2026,BTS Green Line,"752,186",
10652,10652,10/3/2026,BTS Gold Line,"5,650",
10653,10653,11/3/2026,SRT,"67,233",
10654,10654,11/3/2026,ARL,"72,565",
10655,10655,11/3/2026,Red Line,"41,583",
10656,10656,11/3/2026,MRT Blue Line,"476,734",
10657,10657,11/3/2026,MRT Purple Line,"73,149",
10658,10658,11/3/2026,MRT Yellow Line,"48,767",
10659,10659,11/3/2026,MRT Pink Line,"68,115",
10660,10660,11/3/2026,BTS Green Line,"737,796",
10661,10661,11/3/2026,BTS Gold Line,"6,903",
10662,10662,12/3/2026,SRT,"67,519",
10663,10663,12/3/2026,ARL,"76,533",
10664,10664,12/3/2026,Red Line,"37,508",
10665,10665,12/3/2026,MRT Blue Line,"477,103",
10666,10666,12/3/2026,MRT Purple Line,"72,203",
10667,10667,12/3/2026,MRT Yellow Line,"47,270",
10668,10668,12/3/2026,MRT Pink Line,"66,552",
10669,10669,12/3/2026,BTS Green Line,"737,860",
10670,10670,12/3/2026,BTS Gold Line,"6,252",
10671,10671,13/3/2026,SRT,"77,549",
10672,10672,13/3/2026,ARL,"76,519",
10673,10673,13/3/2026,Red Line,"40,738",
10674,10674,13/3/2026,MRT Blue Line,"486,783",
10675,10675,13/3/2026,MRT Purple Line,"73,528",
10676,10676,13/3/2026,MRT Yellow Line,"50,430",
10677,10677,13/3/2026,MRT Pink Line,"72,608",
10678,10678,13/3/2026,BTS Green Line,"759,902",
10679,10679,13/3/2026,BTS Gold Line,"6,875",
10680,10680,14/3/2026,SRT,"71,915",
10681,10681,14/3/2026,ARL,"59,501",
10682,10682,14/3/2026,Red Line,"27,053",
10683,10683,14/3/2026,MRT Blue Line,"332,072",
10684,10684,14/3/2026,MRT Purple Line,"41,132",
10685,10685,14/3/2026,MRT Yellow Line,"38,679",
10686,10686,14/3/2026,MRT Pink Line,"46,633",
10687,10687,14/3/2026,BTS Green Line,"548,151",
10688,10688,14/3/2026,BTS Gold Line,"7,544",
10689,10689,15/3/2026,SRT,"80,629",
10690,10690,15/3/2026,ARL,"52,041",
10691,10691,15/3/2026,Red Line,"25,460",
10692,10692,15/3/2026,MRT Blue Line,"283,242",
10693,10693,15/3/2026,MRT Purple Line,"35,535",
10694,10694,15/3/2026,MRT Yellow Line,"33,448",
10695,10695,15/3/2026,MRT Pink Line,"41,550",
10696,10696,15/3/2026,BTS Green Line,"474,625",
10697,10697,15/3/2026,BTS Gold Line,"6,048",
10698,10698,16/3/2026,SRT,"75,193",
10699,10699,16/3/2026,ARL,"74,750",
10700,10700,16/3/2026,Red Line,"39,133",
10701,10701,16/3/2026,MRT Blue Line,"460,311",
10702,10702,16/3/2026,MRT Purple Line,"70,575",
10703,10703,16/3/2026,MRT Yellow Line,"47,112",
10704,10704,16/3/2026,MRT Pink Line,"65,736",
10705,10705,16/3/2026,BTS Green Line,"719,788",
10706,10706,16/3/2026,BTS Gold Line,"6,324",
10707,10707,17/3/2026,SRT,"69,992",
10708,10708,17/3/2026,ARL,"70,969",
10709,10709,17/3/2026,Red Line,"38,214",
10710,10710,17/3/2026,MRT Blue Line,"472,058",
10711,10711,17/3/2026,MRT Purple Line,"71,415",
10712,10712,17/3/2026,MRT Yellow Line,"48,851",
10713,10713,17/3/2026,MRT Pink Line,"64,506",
10714,10714,17/3/2026,BTS Green Line,"729,964",
10715,10715,17/3/2026,BTS Gold Line,"6,047",
10716,10716,18/3/2026,SRT,"69,804",
10717,10717,18/3/2026,ARL,"73,961",
10718,10718,18/3/2026,Red Line,"37,806",
10719,10719,18/3/2026,MRT Blue Line,"479,028",
10720,10720,18/3/2026,MRT Purple Line,"72,972",
10721,10721,18/3/2026,MRT Yellow Line,"49,351",
10722,10722,18/3/2026,MRT Pink Line,"64,612",
10723,10723,18/3/2026,BTS Green Line,"732,133",
10724,10724,18/3/2026,BTS Gold Line,"6,238",
10725,10725,19/3/2026,SRT,"71,252",
10726,10726,19/3/2026,ARL,"72,464",
10727,10727,19/3/2026,Red Line,"38,291",
10728,10728,19/3/2026,MRT Blue Line,"467,081",
10729,10729,19/3/2026,MRT Purple Line,"71,035",
10730,10730,19/3/2026,MRT Yellow Line,"48,243",
10731,10731,19/3/2026,MRT Pink Line,"65,254",
10732,10732,19/3/2026,BTS Green Line,"731,605",
10733,10733,19/3/2026,BTS Gold Line,"6,625",
10734,10734,20/3/2026,SRT,"78,665",
10735,10735,20/3/2026,ARL,"74,364",
10736,10736,20/3/2026,Red Line,"41,281",
10737,10737,20/3/2026,MRT Blue Line,"482,589",
10738,10738,20/3/2026,MRT Purple Line,"72,812",
10739,10739,20/3/2026,MRT Yellow Line,"50,005",
10740,10740,20/3/2026,MRT Pink Line,"65,960",
10741,10741,20/3/2026,BTS Green Line,"755,319",
10742,10742,20/3/2026,BTS Gold Line,"7,221",
10743,10743,21/3/2026,SRT,"72,114",
10744,10744,21/3/2026,ARL,"54,911",
10745,10745,21/3/2026,Red Line,"27,679",
10746,10746,21/3/2026,MRT Blue Line,"319,126",
10747,10747,21/3/2026,MRT Purple Line,"41,391",
10748,10748,21/3/2026,MRT Yellow Line,"34,915",
10749,10749,21/3/2026,MRT Pink Line,"46,596",
10750,10750,21/3/2026,BTS Green Line,"530,114",
10751,10751,21/3/2026,BTS Gold Line,"7,882",
10752,10752,22/3/2026,SRT,"82,104",
10753,10753,22/3/2026,ARL,"47,872",
10754,10754,22/3/2026,Red Line,"24,550",
10755,10755,22/3/2026,MRT Blue Line,"262,912",
10756,10756,22/3/2026,MRT Purple Line,"33,416",
10757,10757,22/3/2026,MRT Yellow Line,"30,864",
10758,10758,22/3/2026,MRT Pink Line,"35,906",
10759,10759,22/3/2026,BTS Green Line,"441,539",
10760,10760,22/3/2026,BTS Gold Line,"6,584",
10761,10761,23/3/2026,SRT,"79,449",
10762,10762,23/3/2026,ARL,"71,430",
10763,10763,23/3/2026,Red Line,"38,870",
10764,10764,23/3/2026,MRT Blue Line,"446,122",
10765,10765,23/3/2026,MRT Purple Line,"68,555",
10766,10766,23/3/2026,MRT Yellow Line,"48,115",
10767,10767,23/3/2026,MRT Pink Line,"63,440",
10768,10768,23/3/2026,BTS Green Line,"698,446",
10769,10769,23/3/2026,BTS Gold Line,"6,540",
10770,10770,24/3/2026,SRT,"72,477",
10771,10771,24/3/2026,ARL,"72,661",
10772,10772,24/3/2026,Red Line,"37,934",
10773,10773,24/3/2026,MRT Blue Line,"470,264",
10774,10774,24/3/2026,MRT Purple Line,"70,761",
10775,10775,24/3/2026,MRT Yellow Line,"48,468",
10776,10776,24/3/2026,MRT Pink Line,"62,638",
10777,10777,24/3/2026,BTS Green Line,"712,872",
10778,10778,24/3/2026,BTS Gold Line,"6,072",
10779,10779,25/3/2026,SRT,"73,106",
10780,10780,25/3/2026,ARL,"73,767",
10781,10781,25/3/2026,Red Line,"38,275",
10782,10782,25/3/2026,MRT Blue Line,"482,231",
10783,10783,25/3/2026,MRT Purple Line,"72,885",
10784,10784,25/3/2026,MRT Yellow Line,"49,913",
10785,10785,25/3/2026,MRT Pink Line,"67,901",
10786,10786,25/3/2026,BTS Green Line,"724,688",
10787,10787,25/3/2026,BTS Gold Line,"6,680",
10788,10788,26/3/2026,SRT,"75,842",
10789,10789,26/3/2026,ARL,"74,118",
10790,10790,26/3/2026,Red Line,"39,430",
10791,10791,26/3/2026,MRT Blue Line,"497,275",
10792,10792,26/3/2026,MRT Purple Line,"74,604",
10793,10793,26/3/2026,MRT Yellow Line,"47,970",
10794,10794,26/3/2026,MRT Pink Line,"69,418",
10795,10795,26/3/2026,BTS Green Line,"741,100",
10796,10796,26/3/2026,BTS Gold Line,"6,477",
10797,10797,27/3/2026,SRT,"83,906",
10798,10798,27/3/2026,ARL,"77,199",
10799,10799,27/3/2026,Red Line,"42,590",
10800,10800,27/3/2026,MRT Blue Line,"529,602",
10801,10801,27/3/2026,MRT Purple Line,"75,186",
10802,10802,27/3/2026,MRT Yellow Line,"51,454",
10803,10803,27/3/2026,MRT Pink Line,"77,754",
10804,10804,27/3/2026,BTS Green Line,"780,341",
10805,10805,27/3/2026,BTS Gold Line,"8,157",
10806,10806,28/3/2026,SRT,"81,526",
10807,10807,28/3/2026,ARL,"62,936",
10808,10808,28/3/2026,Red Line,"31,317",
10809,10809,28/3/2026,MRT Blue Line,"408,789",
10810,10810,28/3/2026,MRT Purple Line,"48,774",
10811,10811,28/3/2026,MRT Yellow Line,"38,609",
10812,10812,28/3/2026,MRT Pink Line,"69,076",
10813,10813,28/3/2026,BTS Green Line,"611,615",
10814,10814,28/3/2026,BTS Gold Line,"8,599",
10815,10815,29/3/2026,SRT,"87,915",
10816,10816,29/3/2026,ARL,"56,546",
10817,10817,29/3/2026,Red Line,"28,747",
10818,10818,29/3/2026,MRT Blue Line,"345,642",
10819,10819,29/3/2026,MRT Purple Line,"41,486",
10820,10820,29/3/2026,MRT Yellow Line,"31,601",
10821,10821,29/3/2026,MRT Pink Line,"60,773",
10822,10822,29/3/2026,BTS Green Line,"501,253",
10823,10823,29/3/2026,BTS Gold Line,"6,330",
10824,10824,30/3/2026,SRT,"81,292",
10825,10825,30/3/2026,ARL,"72,523",
10826,10826,30/3/2026,Red Line,"40,217",
10827,10827,30/3/2026,MRT Blue Line,"485,159",
10828,10828,30/3/2026,MRT Purple Line,"71,331",
10829,10829,30/3/2026,MRT Yellow Line,"47,760",
10830,10830,30/3/2026,MRT Pink Line,"69,129",
10831,10831,30/3/2026,BTS Green Line,"719,572",
10832,10832,30/3/2026,BTS Gold Line,"5,860",
10833,10833,31/3/2026,SRT,"78,622",
10834,10834,31/3/2026,ARL,"73,204",
10835,10835,31/3/2026,Red Line,"40,915",
10836,10836,31/3/2026,MRT Blue Line,"505,293",
10837,10837,31/3/2026,MRT Purple Line,"74,538",
10838,10838,31/3/2026,MRT Yellow Line,"53,447",
10839,10839,31/3/2026,MRT Pink Line,"72,352",
10840,10840,31/3/2026,BTS Green Line,"750,646",
10841,10841,31/3/2026,BTS Gold Line,"6,103",
10842,10842,1/4/2026,SRT,"80,802",
10843,10843,1/4/2026,ARL,"77,877",
10844,10844,1/4/2026,Red Line,"39,450",
10845,10845,1/4/2026,MRT Blue Line,"537,462",
10846,10846,1/4/2026,MRT Purple Line,"75,880",
10847,10847,1/4/2026,MRT Yellow Line,"50,373",
10848,10848,1/4/2026,MRT Pink Line,"70,509",
10849,10849,1/4/2026,BTS Green Line,"745,798",
10850,10850,1/4/2026,BTS Gold Line,"5,928",
10851,10851,2/4/2026,SRT,"80,882",
10852,10852,2/4/2026,ARL,"74,316",
10853,10853,2/4/2026,Red Line,"39,141",
10854,10854,2/4/2026,MRT Blue Line,"501,490",
10855,10855,2/4/2026,MRT Purple Line,"73,567",
10856,10856,2/4/2026,MRT Yellow Line,"49,598",
10857,10857,2/4/2026,MRT Pink Line,"70,096",
10858,10858,2/4/2026,BTS Green Line,"738,195",
10859,10859,2/4/2026,BTS Gold Line,"6,628",
10860,10860,3/4/2026,SRT,"87,121",
10861,10861,3/4/2026,ARL,"76,442",
10862,10862,3/4/2026,Red Line,"42,771",
10863,10863,3/4/2026,MRT Blue Line,"518,446",
10864,10864,3/4/2026,MRT Purple Line,"75,581",
10865,10865,3/4/2026,MRT Yellow Line,"51,266",
10866,10866,3/4/2026,MRT Pink Line,"76,005",
10867,10867,3/4/2026,BTS Green Line,"777,315",
10868,10868,3/4/2026,BTS Gold Line,"7,309",
10869,10869,4/4/2026,SRT,"83,133",
10870,10870,4/4/2026,ARL,"57,984",
10871,10871,4/4/2026,Red Line,"31,131",
10872,10872,4/4/2026,MRT Blue Line,"361,928",
10873,10873,4/4/2026,MRT Purple Line,"45,313",
10874,10874,4/4/2026,MRT Yellow Line,"38,370",
10875,10875,4/4/2026,MRT Pink Line,"62,175",
10876,10876,4/4/2026,BTS Green Line,"570,665",
10877,10877,4/4/2026,BTS Gold Line,"7,115",
10878,10878,5/4/2026,SRT,"85,713",
10879,10879,5/4/2026,ARL,"52,834",
10880,10880,5/4/2026,Red Line,"27,985",
10881,10881,5/4/2026,MRT Blue Line,"315,009",
10882,10882,5/4/2026,MRT Purple Line,"38,467",
10883,10883,5/4/2026,MRT Yellow Line,"35,670",
10884,10884,5/4/2026,MRT Pink Line,"51,225",
10885,10885,5/4/2026,BTS Green Line,"490,923",
10886,10886,5/4/2026,BTS Gold Line,"7,053",
10887,10887,6/4/2026,SRT,"82,167",
10888,10888,6/4/2026,ARL,"51,227",
10889,10889,6/4/2026,Red Line,"25,545",
10890,10890,6/4/2026,MRT Blue Line,"275,089",
10891,10891,6/4/2026,MRT Purple Line,"35,141",
10892,10892,6/4/2026,MRT Yellow Line,"32,380",
10893,10893,6/4/2026,MRT Pink Line,"37,353",
10894,10894,6/4/2026,BTS Green Line,"443,576",
10895,10895,6/4/2026,BTS Gold Line,"5,541",
10896,10896,7/4/2026,SRT,"80,003",
10897,10897,7/4/2026,ARL,"71,197",
10898,10898,7/4/2026,Red Line,"38,237",
10899,10899,7/4/2026,MRT Blue Line,"437,005",
10900,10900,7/4/2026,MRT Purple Line,"68,154",
10901,10901,7/4/2026,MRT Yellow Line,"48,510",
10902,10902,7/4/2026,MRT Pink Line,"65,038",
10903,10903,7/4/2026,BTS Green Line,"705,476",
10904,10904,7/4/2026,BTS Gold Line,"5,579",
10905,10905,8/4/2026,SRT,"77,949",
10906,10906,8/4/2026,ARL,"69,015",
10907,10907,8/4/2026,Red Line,"37,569",
10908,10908,8/4/2026,MRT Blue Line,"451,626",
10909,10909,8/4/2026,MRT Purple Line,"69,916",
10910,10910,8/4/2026,MRT Yellow Line,"47,071",
10911,10911,8/4/2026,MRT Pink Line,"64,190",
10912,10912,8/4/2026,BTS Green Line,"695,523",
10913,10913,8/4/2026,BTS Gold Line,"5,379",
10914,10914,9/4/2026,SRT,"77,673",
10915,10915,9/4/2026,ARL,"69,668",
10916,10916,9/4/2026,Red Line,"37,148",
10917,10917,9/4/2026,MRT Blue Line,"445,146",
10918,10918,9/4/2026,MRT Purple Line,"69,946",
10919,10919,9/4/2026,MRT Yellow Line,"46,556",
10920,10920,9/4/2026,MRT Pink Line,"62,026",
10921,10921,9/4/2026,BTS Green Line,"675,489",
10922,10922,9/4/2026,BTS Gold Line,"5,548",
10923,10923,10/4/2026,SRT,"91,101",
10924,10924,10/4/2026,ARL,"71,388",
10925,10925,10/4/2026,Red Line,"40,472",
10926,10926,10/4/2026,MRT Blue Line,"455,669",
10927,10927,10/4/2026,MRT Purple Line,"70,107",
10928,10928,10/4/2026,MRT Yellow Line,"49,147",
10929,10929,10/4/2026,MRT Pink Line,"64,131",
10930,10930,10/4/2026,BTS Green Line,"689,079",
10931,10931,10/4/2026,BTS Gold Line,"7,432",
10932,10932,11/4/2026,SRT,"95,309",
10933,10933,11/4/2026,ARL,"52,150",
10934,10934,11/4/2026,Red Line,"25,409",
10935,10935,11/4/2026,MRT Blue Line,"266,771",
10936,10936,11/4/2026,MRT Purple Line,"35,357",
10937,10937,11/4/2026,MRT Yellow Line,"31,553",
10938,10938,11/4/2026,MRT Pink Line,"37,870",
10939,10939,11/4/2026,BTS Green Line,"451,368",
10940,10940,11/4/2026,BTS Gold Line,"12,838",
10941,10941,12/4/2026,SRT,"96,309",
10942,10942,12/4/2026,ARL,"51,430",
10943,10943,12/4/2026,Red Line,"23,199",
10944,10944,12/4/2026,MRT Blue Line,"285,202",
10945,10945,12/4/2026,MRT Purple Line,"35,641",
10946,10946,12/4/2026,MRT Yellow Line,"32,456",
10947,10947,12/4/2026,MRT Pink Line,"34,912",
10948,10948,12/4/2026,BTS Green Line,"483,776",
10949,10949,12/4/2026,BTS Gold Line,"10,934",
10950,10950,13/4/2026,SRT,"82,732",
10951,10951,13/4/2026,ARL,"60,857",
10952,10952,13/4/2026,Red Line,"23,678",
10953,10953,13/4/2026,MRT Blue Line,"315,482",
10954,10954,13/4/2026,MRT Purple Line,"35,134",
10955,10955,13/4/2026,MRT Yellow Line,"40,021",
10956,10956,13/4/2026,MRT Pink Line,"39,893",
10957,10957,13/4/2026,BTS Green Line,"619,061",
10958,10958,13/4/2026,BTS Gold Line,"14,554",
10959,10959,14/4/2026,SRT,"86,424",
10960,10960,14/4/2026,ARL,"59,412",
10961,10961,14/4/2026,Red Line,"26,005",
10962,10962,14/4/2026,MRT Blue Line,"318,349",
10963,10963,14/4/2026,MRT Purple Line,"33,003",
10964,10964,14/4/2026,MRT Yellow Line,"42,874",
10965,10965,14/4/2026,MRT Pink Line,"39,378",
10966,10966,14/4/2026,BTS Green Line,"592,684",
10967,10967,14/4/2026,BTS Gold Line,"19,083",
10968,10968,15/4/2026,SRT,"90,125",
10969,10969,15/4/2026,ARL,"54,406",
10970,10970,15/4/2026,Red Line,"24,978",
10971,10971,15/4/2026,MRT Blue Line,"275,981",
10972,10972,15/4/2026,MRT Purple Line,"31,501",
10973,10973,15/4/2026,MRT Yellow Line,"39,274",
10974,10974,15/4/2026,MRT Pink Line,"37,804",
10975,10975,15/4/2026,BTS Green Line,"489,129",
10976,10976,15/4/2026,BTS Gold Line,"13,973",
10977,10977,16/4/2026,SRT,"86,514",
10978,10978,16/4/2026,ARL,"53,170",
10979,10979,16/4/2026,Red Line,"30,534",
10980,10980,16/4/2026,MRT Blue Line,"343,592",
10981,10981,16/4/2026,MRT Purple Line,"52,263",
10982,10982,16/4/2026,MRT Yellow Line,"34,428",
10983,10983,16/4/2026,MRT Pink Line,"46,117",
10984,10984,16/4/2026,BTS Green Line,"535,376",
10985,10985,16/4/2026,BTS Gold Line,"5,873",
10986,10986,17/4/2026,SRT,"83,338",
10987,10987,17/4/2026,ARL,"60,234",
10988,10988,17/4/2026,Red Line,"30,933",
10989,10989,17/4/2026,MRT Blue Line,"348,221",
10990,10990,17/4/2026,MRT Purple Line,"55,135",
10991,10991,17/4/2026,MRT Yellow Line,"39,157",
10992,10992,17/4/2026,MRT Pink Line,"51,574",
10993,10993,17/4/2026,BTS Green Line,"553,665",
10994,10994,17/4/2026,BTS Gold Line,"5,450",
10995,10995,18/4/2026,SRT,"76,769",
10996,10996,18/4/2026,ARL,"46,041",
10997,10997,18/4/2026,Red Line,"22,931",
10998,10998,18/4/2026,MRT Blue Line,"239,306",
10999,10999,18/4/2026,MRT Purple Line,"33,136",
11000,11000,18/4/2026,MRT Yellow Line,"29,269",
11001,11001,18/4/2026,MRT Pink Line,"36,078",
11002,11002,18/4/2026,BTS Green Line,"411,622",
11003,11003,18/4/2026,BTS Gold Line,"5,400",
11004,11004,19/4/2026,SRT,"80,515",
11005,11005,19/4/2026,ARL,"42,540",
11006,11006,19/4/2026,Red Line,"24,142",
11007,11007,19/4/2026,MRT Blue Line,"231,733",
11008,11008,19/4/2026,MRT Purple Line,"30,553",
11009,11009,19/4/2026,MRT Yellow Line,"28,762",
11010,11010,19/4/2026,MRT Pink Line,"32,082",
11011,11011,19/4/2026,BTS Green Line,"363,574",
11012,11012,19/4/2026,BTS Gold Line,"4,320",
11013,11013,20/4/2026,SRT,"82,068",
11014,11014,20/4/2026,ARL,"68,225",
11015,11015,20/4/2026,Red Line,"38,445",
11016,11016,20/4/2026,MRT Blue Line,"434,874",
11017,11017,20/4/2026,MRT Purple Line,"68,646",
11018,11018,20/4/2026,MRT Yellow Line,"40,849",
11019,11019,20/4/2026,MRT Pink Line,"61,839",
11020,11020,20/4/2026,BTS Green Line,"661,193",
11021,11021,20/4/2026,BTS Gold Line,"4,862",
11022,11022,21/4/2026,SRT,"75,015",
11023,11023,21/4/2026,ARL,"69,798",
11024,11024,21/4/2026,Red Line,"36,866",
11025,11025,21/4/2026,MRT Blue Line,"434,497",
11026,11026,21/4/2026,MRT Purple Line,"67,642",
11027,11027,21/4/2026,MRT Yellow Line,"46,074",
11028,11028,21/4/2026,MRT Pink Line,"62,693",
11029,11029,21/4/2026,BTS Green Line,"682,278",
11030,11030,21/4/2026,BTS Gold Line,"5,089",
11031,11031,22/4/2026,SRT,"71,582",
11032,11032,22/4/2026,ARL,"67,452",
11033,11033,22/4/2026,Red Line,"36,407",
11034,11034,22/4/2026,MRT Blue Line,"449,213",
11035,11035,22/4/2026,MRT Purple Line,"69,070",
11036,11036,22/4/2026,MRT Yellow Line,"47,640",
11037,11037,22/4/2026,MRT Pink Line,"63,305",
11038,11038,22/4/2026,BTS Green Line,"684,251",
11039,11039,22/4/2026,BTS Gold Line,"6,436",
11040,11040,23/4/2026,SRT,"72,327",
11041,11041,23/4/2026,ARL,"67,921",
11042,11042,23/4/2026,Red Line,"36,252",
11043,11043,23/4/2026,MRT Blue Line,"447,528",
